PWGTP,WGTP,AGEP,SEX,MAR,HISP,RAC1P,CIT,SCHL,WKHP,WKWN,WAGP,HINCP,INDP,ESR,FS,SERIALNO,R65,NOC,NRC,FER,PUMA,ADJINC,HUPAOC,HUPARC,state,HHSIZE,SQ_AGEP,EDU1,EDU2,EDU3,EDU4,EDU5,BLW21,EDU_AGE,MARRIED,ADJ_WAGP,ADJ_HINCP,INDP_cat,INDP_prefix,INDP_code,IND1,IND2,IND3,IND4,IND5,IND6,OC_under6,FER_MAR,NOC_MAR,OCunder6_MAR,unemp_reg,fs_availibility,fs_lagreceipt,avg_WAGP,avg_HINCP,SIMBENEFIT,SQ_SIMBENEFIT,SIMBENEFIT_SNAP,SB_EDU2,SB_EDU3,SB_EDU4,SB_EDU5,hrs_elast,WKHP_NAP,WKHP_SNAP,WKHP_change,WKHP_change_pct
159,160,33,0,1,03,9,2,21,50,52,42000.0,83000.0,7460,1.0,0,2023HU0011742,0,0.0,0,0,1101,1.019518,4,4,72,2,1089,0,0,0,1,0,0,0,1,42819.755999999994,84619.99399999999,PRF-Scientific Research And Development Services,PRF,13,0,0,0,0,1,0,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,31331.582607452092,64694.887152382915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.61034225313736,38.61034225313736,0.0,0.0
137,160,29,0,1,03,1,2,20,43,52,0.0,83000.0,7071,1.0,0,2023HU0011742,0,0.0,0,0,1101,1.019518,4,4,72,2,841,0,0,1,0,0,0,0,1,0.0,84619.99399999999,"FIN-Lessors Of Real Estate, And Offices Of Real Estate Agents And Brokers",FIN,7,0,0,0,1,0,0,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,33363.30454493083,64694.887152382915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48451036257523,34.48451036257523,0.0,0.0
54,54,51,0,4,03,8,1,21,45,52,55000.0,76900.0,6881,1.0,1,2023HU0011888,0,0.0,0,0,500,1.019518,4,4,72,3,2601,0,0,0,1,0,0,0,0,56073.49,78400.93419999999,"FIN-Credit Unions, And Savings Institutions And Other Depository Credit Intermediation",FIN,7,0,0,0,1,0,0,0,0,0.0,0,6.806627190621449,0.10526073160050096,825,26044.80826794598,39836.53073333469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.04012049929264,42.04012049929264,0.0,0.0
73,54,22,0,5,03,8,2,19,60,52,20000.0,76900.0,5171,1.0,1,2023HU0011888,0,0.0,0,0,500,1.019518,4,4,72,3,484,0,0,1,0,0,0,0,0,20390.359999999997,78400.93419999999,RET-Clothing And Clothing Accessories Retailers,RET,14,0,0,1,0,0,0,0,0,0.0,0,6.806627190621449,0.10526073160050096,825,13791.72246538871,39836.53073333469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.234663100002372,31.234663100002372,0.0,0.0
172,236,19,0,5,03,1,2,19,30,52,8400.0,19200.0,2870,1.0,0,2023HU0012474,0,1.0,1,0,1900,1.019518,2,2,72,3,361,0,0,1,0,0,1,0,0,8563.9512,19574.7456,"MFG-Architectural And Structural Metals, And Boiler, Tank, And Shipping Container",MFG,10,0,1,0,0,0,0,0,0,0.0,0,8.341374917975838,0.1686968590788813,1065,10934.33055,54924.61394639473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.068781775302256,33.068781775302256,0.0,0.0
60,59,59,0,1,03,1,1,21,35,52,100000.0,131200.0,6070,1.0,0,2023HU0013211,1,0.0,0,0,1300,1.019518,4,4,72,3,3481,0,0,0,1,0,0,0,1,101951.79999999999,133760.7616,TRN-Air Transportation,TRN,17,0,0,1,0,0,0,0,0,0.0,0,4.494460316354261,0.07911436174626973,758,21482.268286291852,42739.85179210419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.39552075031443,41.39552075031443,0.0,0.0
51,51,54,0,3,03,8,2,20,20,16,0.0,18900.0,6290,0.0,0,2023HU0013677,0,0.0,0,0,800,1.019518,4,4,72,3,2916,0,0,1,0,0,0,0,0,0.0,19268.890199999998,TRN-Support Activities For Transportation,TRN,17,0,0,1,0,0,0,0,0,0.0,0,6.9687724951153465,0.10189418680600915,630,23827.89713089005,59673.09603970182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7867195542354,32.7867195542354,0.0,0.0
134,134,35,0,1,03,9,2,21,40,52,60000.0,135000.0,7390,1.0,0,2023HU0014002,0,2.0,2,0,900,1.019518,3,3,72,4,1225,0,0,0,1,0,0,0,1,61171.079999999994,137634.93,"PRF-Management, Scientific, And Technical Consulting Services",PRF,13,0,0,0,0,1,0,1,0,2.0,1,5.055797238509552,0.08522458255736877,755,21507.39108217687,39493.57538030413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.56803649359561,39.56803649359561,0.0,0.0
76,84,26,0,1,03,9,2,20,40,52,21800.0,22260.0,5581,1.0,0,2023HU0014049,0,0.0,0,0,900,1.019518,4,4,72,2,676,0,0,1,0,0,0,0,1,22225.4924,22694.47068,RET-Other Miscellaneous Retailers,RET,14,0,0,1,0,0,0,0,0,0.0,0,5.055797238509552,0.08522458255736877,755,15791.126920658364,33777.96654590771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.46232856406671,32.46232856406671,0.0,0.0
197,198,31,0,5,03,2,2,17,15,52,7600.0,14200.0,8680,1.0,1,2023HU0015064,0,2.0,2,0,1000,1.019518,3,3,72,3,961,0,1,0,0,0,0,0,0,7748.336799999999,14477.155599999998,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",ENT,5,0,0,0,0,0,1,1,0,0.0,0,4.015505711072972,0.05571141487096838,575,14659.410582807868,14658.90187304387,1346.611938716168,1813363.7134929164,4656.974801296622,1346.611938716168,0.0,0.0,0.0,0.10837689024451751,29.467702873889912,33.464030497824204,3.9963276239342918,13.561720915393337
156,156,39,0,5,03,1,2,21,40,52,20100.0,20100.0,2190,1.0,0,2023HU0015519,0,0.0,0,0,700,1.019518,4,4,72,1,1521,0,0,0,1,0,0,0,0,20492.3118,20492.3118,MFG-Pharmaceutical And Medicine,MFG,10,0,1,0,0,0,0,0,0,0.0,0,8.957306297088644,0.11285779917304198,634,18028.75389153069,18028.75389153069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.38879254790768,40.38879254790768,0.0,0.0
